    Product_Category       Date Order_Demand
1       Category_019 2012-01-01     13685930
2       Category_019 2012-01-08     14223951
3       Category_019 2012-01-15     13488881
4       Category_019 2012-01-22     10814476
5       Category_019 2012-01-29     17975601
6       Category_019 2012-02-05     21091853
7       Category_019 2012-02-12     14856372
8       Category_019 2012-02-19     17068654
9       Category_019 2012-02-26     19587845
10      Category_019 2012-03-04     19419962
11      Category_019 2012-03-11     13458086
12      Category_019 2012-03-18     11977347
13      Category_019 2012-03-25     17571590
14      Category_019 2012-04-01     16726125
15      Category_019 2012-04-08     12855956
16      Category_019 2012-04-15     15996266
17      Category_019 2012-04-22     15238812
18      Category_019 2012-04-29      8823136
19      Category_019 2012-05-06     20052897
20      Category_019 2012-05-13     15882371
21      Category_019 2012-05-20     16087036
22      Category_019 2012-05-27     15679670
23      Category_019 2012-06-03     15050629
24      Category_019 2012-06-10     18817202
25      Category_019 2012-06-17     16333569
26      Category_019 2012-06-24     15205455
27      Category_019 2012-07-01     23010987
28      Category_019 2012-07-08     14494486
29      Category_019 2012-07-15     13299365
30      Category_019 2012-07-22     17889242
31      Category_019 2012-07-29     16814998
32      Category_019 2012-08-05     14126358
33      Category_019 2012-08-12      7165404
34      Category_019 2012-08-19     15633962
35      Category_019 2012-08-26     14214282
36      Category_019 2012-09-02     15486407
37      Category_019 2012-09-09     14675314
38      Category_019 2012-09-16     10344153
39      Category_019 2012-09-23     11025308
40      Category_019 2012-09-30     16702645
41      Category_019 2012-10-07     15792184
42      Category_019 2012-10-14     14452364
43      Category_019 2012-10-21     13841909
44      Category_019 2012-10-28     15638775
45      Category_019 2012-11-04     16264749
46      Category_019 2012-11-11     11796153
47      Category_019 2012-11-18     11790010
48      Category_019 2012-11-25     18201288
49      Category_019 2012-12-02     18273160
50      Category_019 2012-12-09     15911228
51      Category_019 2012-12-16     13193435
52      Category_019 2012-12-23     12059483
53      Category_019 2012-12-30      7041563
54      Category_019 2013-01-06     18950215
55      Category_019 2013-01-13     16384554
56      Category_019 2013-01-20     17163745
57      Category_019 2013-01-27     17247307
58      Category_019 2013-02-03     19217241
59      Category_019 2013-02-10     11547386
60      Category_019 2013-02-17     13732250
61      Category_019 2013-02-24     14555379
62      Category_019 2013-03-03     17954797
63      Category_019 2013-03-10     18792749
64      Category_019 2013-03-17     13421712
65      Category_019 2013-03-24     14387836
66      Category_019 2013-03-31     18811468
67      Category_019 2013-04-07     14135559
68      Category_019 2013-04-14     15831964
69      Category_019 2013-04-21     17814226
70      Category_019 2013-04-28     10764630
71      Category_019 2013-05-05     15364200
72      Category_019 2013-05-12     15833484
73      Category_019 2013-05-19     13131425
74      Category_019 2013-05-26     16655491
75      Category_019 2013-06-02     17984990
76      Category_019 2013-06-09     16211884
77      Category_019 2013-06-16     13480840
78      Category_019 2013-06-23     15552722
79      Category_019 2013-06-30     16010317
80      Category_019 2013-07-07     13054846
81      Category_019 2013-07-14     15270554
82      Category_019 2013-07-21     17970341
83      Category_019 2013-07-28     18549401
84      Category_019 2013-08-04     15289184
85      Category_019 2013-08-11      8598961
86      Category_019 2013-08-18     17660309
87      Category_019 2013-08-25     14353152
88      Category_019 2013-09-01     20360785
89      Category_019 2013-09-08     14889263
90      Category_019 2013-09-15     12212447
91      Category_019 2013-09-22     14992058
92      Category_019 2013-09-29     18127456
93      Category_019 2013-10-06     22898572
94      Category_019 2013-10-13     13371100
95      Category_019 2013-10-20     17328618
96      Category_019 2013-10-27     17664929
97      Category_019 2013-11-03     16705489
98      Category_019 2013-11-10     19894184
99      Category_019 2013-11-17     17644209
100     Category_019 2013-11-24     20513659
101     Category_019 2013-12-01     17764596
102     Category_019 2013-12-08     15948338
103     Category_019 2013-12-15     19421374
104     Category_019 2013-12-22     15883818
105     Category_019 2013-12-29      3823071
106     Category_019 2014-01-05     21350671
107     Category_019 2014-01-12     16191261
108     Category_019 2014-01-19     19654708
109     Category_019 2014-01-26     12843991
110     Category_019 2014-02-02     15506049
111     Category_019 2014-02-09     18605004
112     Category_019 2014-02-16     17535761
113     Category_019 2014-02-23     16418448
114     Category_019 2014-03-02     17574868
115     Category_019 2014-03-09     17392392
116     Category_019 2014-03-16     21297898
117     Category_019 2014-03-23     18926899
118     Category_019 2014-03-30     20717608
119     Category_019 2014-04-06     16240827
120     Category_019 2014-04-13     17808011
121     Category_019 2014-04-20     16263292
122     Category_019 2014-04-27     15736283
123     Category_019 2014-05-04     12847673
124     Category_019 2014-05-11     18222618
125     Category_019 2014-05-18     19300944
126     Category_019 2014-05-25     14305296
127     Category_019 2014-06-01     18679631
128     Category_019 2014-06-08     17553941
129     Category_019 2014-06-15     20339284
130     Category_019 2014-06-22     16641363
131     Category_019 2014-06-29     17844129
132     Category_019 2014-07-06     16065129
133     Category_019 2014-07-13     20009261
134     Category_019 2014-07-20     15786726
135     Category_019 2014-07-27     19664525
136     Category_019 2014-08-03     15290126
137     Category_019 2014-08-10      7480633
138     Category_019 2014-08-17     13754435
139     Category_019 2014-08-24     14402359
140     Category_019 2014-08-31     16925588
141     Category_019 2014-09-07     18871842
142     Category_019 2014-09-14     17919214
143     Category_019 2014-09-21     14599426
144     Category_019 2014-09-28     17401238
