    Product_Category       Date Order_Demand
1       Category_005 2012-01-01       385765
2       Category_005 2012-01-08       720685
3       Category_005 2012-01-15       901025
4       Category_005 2012-01-22       685745
5       Category_005 2012-01-29       727900
6       Category_005 2012-02-05       785800
7       Category_005 2012-02-12       743925
8       Category_005 2012-02-19       760275
9       Category_005 2012-02-26       810445
10      Category_005 2012-03-04       885165
11      Category_005 2012-03-11       734075
12      Category_005 2012-03-18       583270
13      Category_005 2012-03-25       618370
14      Category_005 2012-04-01       910275
15      Category_005 2012-04-08       484680
16      Category_005 2012-04-15       679055
17      Category_005 2012-04-22       533440
18      Category_005 2012-04-29       525240
19      Category_005 2012-05-06      1041150
20      Category_005 2012-05-13       695680
21      Category_005 2012-05-20       811530
22      Category_005 2012-05-27       581010
23      Category_005 2012-06-03       693625
24      Category_005 2012-06-10       885475
25      Category_005 2012-06-17       858765
26      Category_005 2012-06-24       621525
27      Category_005 2012-07-01       784970
28      Category_005 2012-07-08       670825
29      Category_005 2012-07-15       581370
30      Category_005 2012-07-22       653710
31      Category_005 2012-07-29       630345
32      Category_005 2012-08-05       745600
33      Category_005 2012-08-12       239425
34      Category_005 2012-08-19       772860
35      Category_005 2012-08-26       616000
36      Category_005 2012-09-02       834920
37      Category_005 2012-09-09       505820
38      Category_005 2012-09-16       592135
39      Category_005 2012-09-23       663525
40      Category_005 2012-09-30       849075
41      Category_005 2012-10-07       381605
42      Category_005 2012-10-14       555075
43      Category_005 2012-10-21       623600
44      Category_005 2012-10-28       766500
45      Category_005 2012-11-04       713355
46      Category_005 2012-11-11       599350
47      Category_005 2012-11-18       492115
48      Category_005 2012-11-25       587635
49      Category_005 2012-12-02       735770
50      Category_005 2012-12-09       620375
51      Category_005 2012-12-16       623810
52      Category_005 2012-12-23       457900
53      Category_005 2012-12-30       311725
54      Category_005 2013-01-06       952125
55      Category_005 2013-01-13       558650
56      Category_005 2013-01-20       721015
57      Category_005 2013-01-27       637525
58      Category_005 2013-02-03       756895
59      Category_005 2013-02-10       382625
60      Category_005 2013-02-17       687740
61      Category_005 2013-02-24       592150
62      Category_005 2013-03-03       756270
63      Category_005 2013-03-10       761765
64      Category_005 2013-03-17       571575
65      Category_005 2013-03-24       757950
66      Category_005 2013-03-31       719875
67      Category_005 2013-04-07       509500
68      Category_005 2013-04-14       618375
69      Category_005 2013-04-21       545250
70      Category_005 2013-04-28       561670
71      Category_005 2013-05-05       571145
72      Category_005 2013-05-12       989625
73      Category_005 2013-05-19       798385
74      Category_005 2013-05-26       707080
75      Category_005 2013-06-02       789195
76      Category_005 2013-06-09       601700
77      Category_005 2013-06-16       611575
78      Category_005 2013-06-23       852550
79      Category_005 2013-06-30       740885
80      Category_005 2013-07-07       490890
81      Category_005 2013-07-14       677345
82      Category_005 2013-07-21       906450
83      Category_005 2013-07-28       730510
84      Category_005 2013-08-04       607195
85      Category_005 2013-08-11       377925
86      Category_005 2013-08-18       706000
87      Category_005 2013-08-25       945475
88      Category_005 2013-09-01       723350
89      Category_005 2013-09-08       791425
90      Category_005 2013-09-15       707000
91      Category_005 2013-09-22       691500
92      Category_005 2013-09-29       790325
93      Category_005 2013-10-06       599660
94      Category_005 2013-10-13       605050
95      Category_005 2013-10-20      1153275
96      Category_005 2013-10-27       610600
