    Product_Category       Date Order_Demand
1       Category_028 2012-01-01       106139
2       Category_028 2012-01-08       121582
3       Category_028 2012-01-15       122792
4       Category_028 2012-01-22        84103
5       Category_028 2012-01-29       104419
6       Category_028 2012-02-05       114419
7       Category_028 2012-02-12       127128
8       Category_028 2012-02-19       110036
9       Category_028 2012-02-26       107950
10      Category_028 2012-03-04       185543
11      Category_028 2012-03-11       148934
12      Category_028 2012-03-18       113525
13      Category_028 2012-03-25        84103
14      Category_028 2012-04-01        85446
15      Category_028 2012-04-08       105966
16      Category_028 2012-04-15        81976
17      Category_028 2012-04-22        97391
18      Category_028 2012-04-29        44771
19      Category_028 2012-05-06        48073
20      Category_028 2012-05-13       200501
21      Category_028 2012-05-20       407361
22      Category_028 2012-05-27        85118
23      Category_028 2012-06-03       611556
24      Category_028 2012-06-10        62992
25      Category_028 2012-06-17       152851
26      Category_028 2012-06-24       316914
27      Category_028 2012-07-01       267120
28      Category_028 2012-07-08       277876
29      Category_028 2012-07-15       157978
30      Category_028 2012-07-22        98632
31      Category_028 2012-07-29        81723
32      Category_028 2012-08-05       223773
33      Category_028 2012-08-12       105215
34      Category_028 2012-08-19       162854
35      Category_028 2012-08-26        88280
36      Category_028 2012-09-02       266740
37      Category_028 2012-09-09       199203
38      Category_028 2012-09-16       226312
39      Category_028 2012-09-23        98320
40      Category_028 2012-09-30       260341
41      Category_028 2012-10-07       133352
42      Category_028 2012-10-14       324982
43      Category_028 2012-10-21        96929
44      Category_028 2012-10-28       175753
45      Category_028 2012-11-04        70651
46      Category_028 2012-11-11        59341
47      Category_028 2012-11-18        74026
48      Category_028 2012-11-25        71505
49      Category_028 2012-12-02       103679
50      Category_028 2012-12-09       376458
51      Category_028 2012-12-16       133108
52      Category_028 2012-12-23        44167
53      Category_028 2012-12-30       133002
54      Category_028 2013-01-06       182484
55      Category_028 2013-01-13       119555
56      Category_028 2013-01-20       169764
57      Category_028 2013-01-27       237158
58      Category_028 2013-02-03       375073
59      Category_028 2013-02-10        48569
60      Category_028 2013-02-17       192677
61      Category_028 2013-02-24       145490
62      Category_028 2013-03-03       113945
63      Category_028 2013-03-10        64552
64      Category_028 2013-03-17       149625
65      Category_028 2013-03-24       113848
66      Category_028 2013-03-31       244582
67      Category_028 2013-04-07       145118
68      Category_028 2013-04-14       209633
69      Category_028 2013-04-21       142758
70      Category_028 2013-04-28        53195
71      Category_028 2013-05-05       292098
72      Category_028 2013-05-12       124567
73      Category_028 2013-05-19       105247
74      Category_028 2013-05-26       126839
75      Category_028 2013-06-02       196229
76      Category_028 2013-06-09       119110
77      Category_028 2013-06-16       123806
78      Category_028 2013-06-23       223047
79      Category_028 2013-06-30       187542
80      Category_028 2013-07-07       164151
81      Category_028 2013-07-14       154113
82      Category_028 2013-07-21       154775
83      Category_028 2013-07-28       200558
84      Category_028 2013-08-04       177929
85      Category_028 2013-08-11       147835
86      Category_028 2013-08-18       216361
87      Category_028 2013-08-25       346139
88      Category_028 2013-09-01       132567
89      Category_028 2013-09-08       206774
90      Category_028 2013-09-15       273559
91      Category_028 2013-09-22       263046
92      Category_028 2013-09-29       211688
93      Category_028 2013-10-06       255801
