    Product_Category       Date Order_Demand
1       Category_007 2012-01-01       687953
2       Category_007 2012-01-08       326569
3       Category_007 2012-01-15       367456
4       Category_007 2012-01-22       257725
5       Category_007 2012-01-29      1513165
6       Category_007 2012-02-05       160168
7       Category_007 2012-02-12       852883
8       Category_007 2012-02-19       163195
9       Category_007 2012-02-26       372354
10      Category_007 2012-03-04       375616
11      Category_007 2012-03-11       463906
12      Category_007 2012-03-18       289604
13      Category_007 2012-03-25      1143245
14      Category_007 2012-04-01       324602
15      Category_007 2012-04-08       454912
16      Category_007 2012-04-15       435039
17      Category_007 2012-04-22      1570089
18      Category_007 2012-04-29       184012
19      Category_007 2012-05-06       409518
20      Category_007 2012-05-13       263109
21      Category_007 2012-05-20       420034
22      Category_007 2012-05-27       732261
23      Category_007 2012-06-03       163211
24      Category_007 2012-06-10       113344
25      Category_007 2012-06-17       302326
26      Category_007 2012-06-24      1017165
27      Category_007 2012-07-01       173917
28      Category_007 2012-07-08       333670
29      Category_007 2012-07-15       420554
30      Category_007 2012-07-22       314336
31      Category_007 2012-07-29       504031
32      Category_007 2012-08-05       258578
33      Category_007 2012-08-12       211754
34      Category_007 2012-08-19       761053
35      Category_007 2012-08-26       816905
36      Category_007 2012-09-02       527019
37      Category_007 2012-09-09       457824
38      Category_007 2012-09-16       116144
39      Category_007 2012-09-23       277956
40      Category_007 2012-09-30      1021493
41      Category_007 2012-10-07       130922
42      Category_007 2012-10-14       513087
43      Category_007 2012-10-21       369051
44      Category_007 2012-10-28       591771
45      Category_007 2012-11-04       474616
46      Category_007 2012-11-11       701120
47      Category_007 2012-11-18       483316
48      Category_007 2012-11-25       394629
49      Category_007 2012-12-02       471334
50      Category_007 2012-12-09       221305
51      Category_007 2012-12-16       696926
52      Category_007 2012-12-23        68709
53      Category_007 2012-12-30        29619
54      Category_007 2013-01-06       907845
55      Category_007 2013-01-13       489345
56      Category_007 2013-01-20       439553
57      Category_007 2013-01-27       936810
58      Category_007 2013-02-03       548995
59      Category_007 2013-02-10       153754
60      Category_007 2013-02-17       783555
61      Category_007 2013-02-24      1742317
62      Category_007 2013-03-03       488381
63      Category_007 2013-03-10       365016
64      Category_007 2013-03-17       504043
65      Category_007 2013-03-24       616726
66      Category_007 2013-03-31       436048
67      Category_007 2013-04-07       724257
68      Category_007 2013-04-14       395049
69      Category_007 2013-04-21       548336
70      Category_007 2013-04-28       730022
71      Category_007 2013-05-05       205331
72      Category_007 2013-05-12       604305
73      Category_007 2013-05-19       595445
74      Category_007 2013-05-26       883483
75      Category_007 2013-06-02       125483
76      Category_007 2013-06-09       344506
77      Category_007 2013-06-16       506535
78      Category_007 2013-06-23      1206897
79      Category_007 2013-06-30       352684
80      Category_007 2013-07-07       345913
81      Category_007 2013-07-14       209258
82      Category_007 2013-07-21       322367
83      Category_007 2013-07-28       257233
84      Category_007 2013-08-04       378073
85      Category_007 2013-08-11       359597
86      Category_007 2013-08-18       700010
87      Category_007 2013-08-25       921339
88      Category_007 2013-09-01       186704
89      Category_007 2013-09-08       438980
90      Category_007 2013-09-15       206354
91      Category_007 2013-09-22       330068
92      Category_007 2013-09-29      1200961
93      Category_007 2013-10-06       431837
94      Category_007 2013-10-13       529948
95      Category_007 2013-10-20       787652
96      Category_007 2013-10-27       612502
97      Category_007 2013-11-03       521633
98      Category_007 2013-11-10       485351
99      Category_007 2013-11-17       381122
100     Category_007 2013-11-24       559787
101     Category_007 2013-12-01       988191
102     Category_007 2013-12-08       423942
103     Category_007 2013-12-15       276312
104     Category_007 2013-12-22       448059
105     Category_007 2013-12-29        18538
106     Category_007 2014-01-05      1088715
107     Category_007 2014-01-12       351896
108     Category_007 2014-01-19       732663
109     Category_007 2014-01-26       407806
110     Category_007 2014-02-02       506282
111     Category_007 2014-02-09       546118
112     Category_007 2014-02-16       820200
113     Category_007 2014-02-23       581896
114     Category_007 2014-03-02       715090
115     Category_007 2014-03-09       534125
116     Category_007 2014-03-16      1017846
117     Category_007 2014-03-23       431907
118     Category_007 2014-03-30       612295
119     Category_007 2014-04-06      1013887
120     Category_007 2014-04-13       259500
121     Category_007 2014-04-20       304688
122     Category_007 2014-04-27       437176
123     Category_007 2014-05-04       508684
124     Category_007 2014-05-11       331410
125     Category_007 2014-05-18       369962
126     Category_007 2014-05-25       681591
127     Category_007 2014-06-01       714741
128     Category_007 2014-06-08       394856
129     Category_007 2014-06-15       264924
130     Category_007 2014-06-22       561405
131     Category_007 2014-06-29       775302
132     Category_007 2014-07-06       484051
133     Category_007 2014-07-13       113103
134     Category_007 2014-07-20       539890
135     Category_007 2014-07-27       282674
136     Category_007 2014-08-03       664663
137     Category_007 2014-08-10        52446
138     Category_007 2014-08-17       465101
139     Category_007 2014-08-24      1274737
140     Category_007 2014-08-31       166743
141     Category_007 2014-09-07       233018
142     Category_007 2014-09-14       248036
143     Category_007 2014-09-21       239547
144     Category_007 2014-09-28       937713
145     Category_007 2014-10-05       326602
146     Category_007 2014-10-12       590979
147     Category_007 2014-10-19       381507
148     Category_007 2014-10-26      1286532
149     Category_007 2014-11-02       502841
150     Category_007 2014-11-09       145383
151     Category_007 2014-11-16       233992
152     Category_007 2014-11-23       932237
153     Category_007 2014-11-30       287792
154     Category_007 2014-12-07       412471
155     Category_007 2014-12-14       332245
156     Category_007 2014-12-21       774808
157     Category_007 2014-12-28        38172
158     Category_007 2015-01-04      1024676
159     Category_007 2015-01-11       312673
160     Category_007 2015-01-18       192562
161     Category_007 2015-01-25       216278
162     Category_007 2015-02-01       446273
163     Category_007 2015-02-08       885064
164     Category_007 2015-02-15       604470
165     Category_007 2015-02-22       155829
166     Category_007 2015-03-01       681125
167     Category_007 2015-03-08       689480
168     Category_007 2015-03-15       478146
169     Category_007 2015-03-22      1640622
170     Category_007 2015-03-29      1890135
171     Category_007 2015-04-05       877187
172     Category_007 2015-04-12       577664
173     Category_007 2015-04-19       114379
174     Category_007 2015-04-26      1130181
175     Category_007 2015-05-03       113710
176     Category_007 2015-05-10       596084
177     Category_007 2015-05-17       433703
178     Category_007 2015-05-24       310775
179     Category_007 2015-05-31       104931
180     Category_007 2015-06-07       375690
181     Category_007 2015-06-14       122757
182     Category_007 2015-06-21       294718
183     Category_007 2015-06-28       861685
184     Category_007 2015-07-05       312220
185     Category_007 2015-07-12       307621
186     Category_007 2015-07-19       134769
187     Category_007 2015-07-26       272157
188     Category_007 2015-08-02       459445
189     Category_007 2015-08-09       189028
190     Category_007 2015-08-16       295631
191     Category_007 2015-08-23       385053
192     Category_007 2015-08-30       783701
193     Category_007 2015-09-06       131633
194     Category_007 2015-09-13       347897
195     Category_007 2015-09-20       136845
196     Category_007 2015-09-27      2046209
197     Category_007 2015-10-04       280922
198     Category_007 2015-10-11       628280
199     Category_007 2015-10-18       307297
200     Category_007 2015-10-25       210020
201     Category_007 2015-11-01       724420
202     Category_007 2015-11-08       220336
203     Category_007 2015-11-15       135813
204     Category_007 2015-11-22       247655
205     Category_007 2015-11-29       646059
206     Category_007 2015-12-06       553420
207     Category_007 2015-12-13       116968
208     Category_007 2015-12-20       210813
209     Category_007 2015-12-27       471317
210     Category_007 2016-01-03       228729
211     Category_007 2016-01-10       283979
212     Category_007 2016-01-17       102558
213     Category_007 2016-01-24      1037268
214     Category_007 2016-01-31       497144
215     Category_007 2016-02-07       585287
216     Category_007 2016-02-14       235152
217     Category_007 2016-02-21       389182
218     Category_007 2016-02-28       761812
219     Category_007 2016-03-06       680013
220     Category_007 2016-03-13       353043
