;index;user_id;user_started_date;monthly_price;coverage_types_selected;coverages_selected;area
0;1465;d7509efa343466a8d1ad517c27d1efe6c6dd3a53;2018-10-01 16:08:50.764;203.0;['NACOM', 'NBFRL', 'NUTLWA', 'NBKET', 'NAMOB', 'NTHFT', 'NLIAB', 'NATCL'];['Computer & tablet', 'Brand', 'Vandskade', 'Cykeltyveri', 'Mobiltelefon', 'Tyveri og Hærværk', 'Ansvar', 'Kælder- og loftsrum'];København
1;16986;e3b3ac729dea7c0702cc4279b01fb47baa392af1;2019-10-21 10:00:00.000;15.0;['HovdingType'];['Hövding'];København
2;1466;fdfa3e976263afff0f8cd0f5ae291a186ed74b4a;2018-11-30 23:00:00.000;130.0;['NACOM', 'NBFRL', 'NUTLWA', 'NAMOB', 'NTHFT', 'NLIAB'];['Computer & tablet', 'Brand', 'Vandskade', 'Mobiltelefon', 'Tyveri og Hærværk', 'Ansvar'];København
3;8048;cf48040c46b3fa8bc0baf5741280561cb0e36c6e;2019-05-20 16:55:53.021;139.0;['NAMOB', 'HealthPermanentInjuryType', 'HealthDentalType'];['Mobiltelefon', 'Varigt men', 'Tandskade'];Sydøstsjælland mv.
4;16412;83e529bdc8279a8d1322e6746b0338e8fe7c7b0e;2019-09-17 22:06:08.124;118.0;['NBFRL', 'NUTLWA', 'NLEGL', 'GlassBreakageType', 'NACOM', 'HealthDentalType', 'NLIAB', 'NTHFT', 'NUTLWE', 'NATCL', 'NAMOB', 'NAOEL'];['Brand', 'Vandskade', 'Retshjælp', 'Glas & Sanitet', 'Computer & tablet', 'Tandskade', 'Ansvar', 'Tyveri og Hærværk', 'Vejrskade', 'Kælder- og loftsrum', 'Mobiltelefon', 'TV & HiFi'];Fyn
5;24217;a81aa40e9417195ec3c2406f681eef0ae99d1794;2020-10-30 19:45:00.000;68.0;['NAMOB'];['Mobiltelefon'];Østjylland
6;28867;db439ef822d77e207a0f3b0ea953e96f5a89b512;2020-07-01 20:21:02.000;131.0;['NLEGL', 'NUTLWE', 'NTHFT', 'GlassBreakageType', 'NBFRL', 'NATCL', 'NBKET', 'NUTLWA', 'NLIAB'];['Retshjælp', 'Vejrskade', 'Tyveri og Hærværk', 'Glas & Sanitet', 'Brand', 'Kælder- og loftsrum', 'Cykeltyveri', 'Vandskade', 'Ansvar'];Fyn
7;2996;5cf74ba3639e0ffa2c898c67a620639e587be72a;2019-02-04 22:30:09.844;82.0;['NAMOB'];['Mobiltelefon'];København
8;11954;9f1532ab05bfffec6dcc9975d6c7f0bd2197004e;2020-08-22 16:07:32.991;105.0;['NBFRL', 'NUTLWA', 'NAOEL', 'NLIAB', 'NTHFT', 'NAMOB', 'HeadPhonesType'];['Brand', 'Vandskade', 'TV & HiFi', 'Ansvar', 'Tyveri og Hærværk', 'Mobiltelefon', 'Høretelefoner'];Fyn
9;2673;ab1d92f8ca6563fb6840b604ee86638f96b8c9a9;2019-01-30 10:42:07.717;321.0;['NAMOB', 'NBFRL', 'NUTLWA', 'NTHFT', 'NLIAB'];['Mobiltelefon', 'Brand', 'Vandskade', 'Tyveri og Hærværk', 'Ansvar'];København
10;3330;e0b084bf52486c9a0dca192e710c8c7a691af385;2019-12-27 10:55:05.945;142.0;['NBFRL', 'NUTLWA', 'NLIAB', 'HealthDentalType', 'NTHFT', 'NLEGL', 'HealthPermanentInjuryType'];['Brand', 'Vandskade', 'Ansvar', 'Tandskade', 'Tyveri og Hærværk', 'Retshjælp', 'Varigt men'];København
11;21630;71a9e6ee597c0758232990693ba639a214af8f4a;2019-12-01 08:18:39.197;24.0;['NAMOB'];['Mobiltelefon'];København
12;3982;e7b0602eb7a7ec551bffb1744a216c28df674200;2019-03-06 08:45:59.595;392.0;['NAOEL', 'NBFRL', 'HealthDentalType', 'NAMOB', 'NTHFT', 'NLIAB', 'HealthPermanentInjuryType'];['TV & HiFi', 'Brand', 'Tandskade', 'Mobiltelefon', 'Tyveri og Hærværk', 'Ansvar', 'Varigt men'];Sydøstsjælland mv.
13;4931;432154abc458b2fc2551f84a919e952736315378;2019-04-30 22:00:00.000;164.0;['NBFRL', 'NUTLWA', 'NTHFT', 'NLIAB'];['Brand', 'Vandskade', 'Tyveri og Hærværk', 'Ansvar'];Østjylland
14;24243;b2ed3ff382a8166ec9365feaf6adee1b2412cf9f;2020-01-17 09:00:52.000;73.0;['NLIAB', 'NUTLWA', 'NTHFT', 'NBFRL', 'HealthDentalType'];['Ansvar', 'Vandskade', 'Tyveri og Hærværk', 'Brand', 'Tandskade'];Østjylland
15;3575;9ad5478f41ebd7019522d48985ba55c2060cd606;2019-03-31 22:00:00.000;179.0;['NTHFT', 'NLIAB', 'HealthPermanentInjuryType', 'NBFRL', 'NUTLWA'];['Tyveri og Hærværk', 'Ansvar', 'Varigt men', 'Brand', 'Vandskade'];København
16;34387;84a83d8f6924dcfaacf96f9aafde89c0071bacd0;2020-11-16 23:00:00.000;15.0;['HovdingType'];['Hövding'];København
17;10391;6d24f62dea0f0eb1ea07da4defafcc5fe8f3be20;2019-07-04 11:07:15.326;225.0;['NAGLS', 'NUTLWA', 'NBFRL', 'HealthDentalType', 'NAFUR', 'NLIAB', 'NTHFT'];['Briller', 'Vandskade', 'Brand', 'Tandskade', 'Møbler', 'Ansvar', 'Tyveri og Hærværk'];Fyn
18;24786;80440ed83c777e58d54c006aba7778f0276ed6b2;2020-02-09 13:18:06.943;191.0;['NAMOB', 'NBFRL', 'NTHFT', 'NUTLWE', 'NACOM', 'NLEGL', 'GlassBreakageType', 'NLIAB'];['Mobiltelefon', 'Brand', 'Tyveri og Hærværk', 'Vejrskade', 'Computer & tablet', 'Retshjælp', 'Glas & Sanitet', 'Ansvar'];Nordjylland
19;4903;54e9b2a0251adb5e101bd6d69dac674b34efd2bf;2020-03-31 22:00:00.000;260.0;['NTHFT', 'NLIAB', 'NUTLWE', 'HealthDentalType', 'NBFRL', 'NUTLWA', 'NLEGL', 'HealthPermanentInjuryType'];['Tyveri og Hærværk', 'Ansvar', 'Vejrskade', 'Tandskade', 'Brand', 'Vandskade', 'Retshjælp', 'Varigt men'];København
20;17178;9581708c7f05f3b3f2fb05cf1cfed6f0485b90d1;2019-10-01 22:16:50.918;277.0;['NBFRL', 'NLIAB', 'NUTLWA', 'HealthDentalType', 'NAMOB', 'GlassBreakageType', 'NTHFT', 'NAGLS', 'HealthPermanentInjuryType', 'NACOM'];['Brand', 'Ansvar', 'Vandskade', 'Tandskade', 'Mobiltelefon', 'Glas & Sanitet', 'Tyveri og Hærværk', 'Briller', 'Varigt men', 'Computer & tablet'];København
21;27164;cc44c5a0f1e7068aa6c03e5173dee5974bf7434b;2020-06-01 14:13:44.398;189.0;['NBFRL', 'NUTLWA', 'NACOM', 'NAFUR', 'NLIAB', 'NTHFT', 'NAMOB', 'NAOEL'];['Brand', 'Vandskade', 'Computer & tablet', 'Møbler', 'Ansvar', 'Tyveri og Hærværk', 'Mobiltelefon', 'TV & HiFi'];København
22;12997;7c472ce9cbfdfb043c911125ece48de6b17c081c;2020-09-30 22:00:00.000;122.0;['HealthPermanentInjuryType', 'NTHFT', 'NBFRL', 'NLIAB'];['Varigt men', 'Tyveri og Hærværk', 'Brand', 'Ansvar'];Østjylland
23;20271;8ce6741abac9be0faebc66c9363be0a2ad14448e;2019-11-11 00:15:59.023;22.0;['NACLO', 'HealthDentalType', 'HeadPhonesType'];['Tøj & sko', 'Tandskade', 'Høretelefoner'];København
24;11212;97cad807adef097960202e69352e56cbe8e4096e;2019-07-28 15:12:11.046;102.0;['NBKET', 'NTHFT', 'NBFRL', 'HealthDentalType', 'NLIAB', 'NUTLWA'];['Cykeltyveri', 'Tyveri og Hærværk', 'Brand', 'Tandskade', 'Ansvar', 'Vandskade'];Nordjylland
25;16647;530c697f114ac02097c3e14daf553b7969ebf0e7;2019-10-31 23:00:00.000;199.0;['NAOEL', 'NLIAB', 'NUTLWA', 'NACOM', 'NAGLS', 'NTHFT', 'NBFRL'];['TV & HiFi', 'Ansvar', 'Vandskade', 'Computer & tablet', 'Briller', 'Tyveri og Hærværk', 'Brand'];København
26;24892;be63ebafb7791558499c18f7eb03288cd179140d;2020-02-29 23:00:00.000;200.0;['HealthDentalType', 'NAMOB', 'NBKET', 'HealthPermanentInjuryType', 'NACOM', 'NLIAB', 'NLEGL'];['Tandskade', 'Mobiltelefon', 'Cykeltyveri', 'Varigt men', 'Computer & tablet', 'Ansvar', 'Retshjælp'];København
27;15291;80ab24a2f91f5c1e3499da102dfe3ee892feb8cf;2019-09-03 17:33:33.669;83.0;['NLIAB', 'NTHFT', 'NBFRL', 'NUTLWA'];['Ansvar', 'Tyveri og Hærværk', 'Brand', 'Vandskade'];Fyn
28;19415;00b5ec5cad91a8d0c5c493e1edd923290408ad96;2019-12-01 08:34:30.836;157.0;['NBFRL', 'NUTLWA', 'GlassBreakageType', 'HealthDentalType', 'NLIAB', 'NTHFT', 'NLEGL', 'HealthPermanentInjuryType'];['Brand', 'Vandskade', 'Glas & Sanitet', 'Tandskade', 'Ansvar', 'Tyveri og Hærværk', 'Retshjælp', 'Varigt men'];Østjylland
29;35366;0917bdd60b9094460cebdb4847cccea00940469c;2021-01-05 16:16:00.000;80.0;['NLIAB', 'NUTLWA', 'NTHFT', 'NBFRL'];['Ansvar', 'Vandskade', 'Tyveri og Hærværk', 'Brand'];Østjylland
30;22291;45ed60db5aa549ca696ad81186575d06d6548dd3;2019-12-16 16:17:52.000;15.0;['HovdingType'];['Hövding'];København
31;23629;6167d3ffc6094ecde9785f22f3998d50f89fd91d;2020-01-07 20:45:42.027;93.0;['NLIAB', 'NBFRL', 'NTHFT', 'NUTLWA', 'NACOM'];['Ansvar', 'Brand', 'Tyveri og Hærværk', 'Vandskade', 'Computer & tablet'];København
32;9669;b7db1583d81c58ec26b99e73a0189d53ad4ead72;2019-06-26 18:56:04.865;61.0;['NTHFT', 'NUTLWA', 'NBFRL', 'NLIAB'];['Tyveri og Hærværk', 'Vandskade', 'Brand', 'Ansvar'];Vestsjælland
33;3518;f409a390feda216f8fc417ff707bbd5718532b9a;2019-03-31 22:00:00.000;48.0;['NBKET'];['Cykeltyveri'];København
34;11644;4d39dfae7c5fa79fbc0b6f799863a0dc806b5520;2019-07-20 11:12:18.925;117.0;['NTHFT', 'NUTLWA', 'NLIAB', 'NBFRL'];['Tyveri og Hærværk', 'Vandskade', 'Ansvar', 'Brand'];Sydøstjylland
35;36836;fc4cd08111cff7d92ebd67440572b3995e34f250;2021-02-08 12:28:47.480;127.0;['NTHFT', 'HealthPermanentInjuryType', 'NLIAB', 'NUTLWA', 'NBFRL'];['Tyveri og Hærværk', 'Varigt men', 'Ansvar', 'Vandskade', 'Brand'];København
36;179;7e002fb47152f462c2f2f63ba124226f7e2ed4a9;2019-04-30 22:00:00.000;121.0;['NBFRL', 'NUTLWA', 'HealthDentalType', 'NTHFT', 'NLIAB', 'NLEGL'];['Brand', 'Vandskade', 'Tandskade', 'Tyveri og Hærværk', 'Ansvar', 'Retshjælp'];København
37;30186;7774212f1a4b433d9a5a61b98bf483923911b950;2020-07-17 09:07:36.227;90.0;['NLIAB', 'NBFRL', 'NTHFT', 'NUTLWA'];['Ansvar', 'Brand', 'Tyveri og Hærværk', 'Vandskade'];Østjylland
38;32995;87cac6103fe5c6a8a65a774ed7def63a84bf8b6a;2020-10-31 23:00:00.000;167.0;['HealthPermanentInjuryType', 'NBFRL', 'NUTLWA', 'NTHFT', 'NLIAB'];['Varigt men', 'Brand', 'Vandskade', 'Tyveri og Hærværk', 'Ansvar'];Sydøstsjælland mv.
39;10060;fed58370134bd3acd809cdea9eaf80f4504216f2;2020-09-03 14:39:58.351;14.0;['NUTLWA', 'NLIAB'];['Vandskade', 'Ansvar'];København
40;14462;47b617d156a652e1a0ce6ae97209960a6ca7b1da;2019-08-27 08:38:58.594;134.0;['HealthDentalType', 'NBFRL', 'NTHFT', 'HealthPermanentInjuryType', 'NUTLWA', 'NLIAB'];['Tandskade', 'Brand', 'Tyveri og Hærværk', 'Varigt men', 'Vandskade', 'Ansvar'];Sydvestjylland
41;4998;6aa5cf8aeaa2a89bd850a06bb10d10e9b5a017be;2019-04-30 22:00:00.000;41.0;['NAMOB', 'NACOM'];['Mobiltelefon', 'Computer & tablet'];Østjylland
42;33477;b2a4ba32e652e37c3eb79cf72d2712b6209d932f;2020-10-14 17:18:49.321;15.0;['HovdingType'];['Hövding'];København
